Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
IN1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,91.5944,-39.8174,-124.0,bottom
OUT1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,85.344,-47.498,180.0,bottom
U1,WS2812-2020,LED_WS2812-2020,79.375,-31.115,0.0,top
U2,WS2812-2020,LED_WS2812-2020,77.47,-33.655,0.0,top
U3,WS2812-2020,LED_WS2812-2020,75.845,-36.745,0.0,top
U4,WS2812-2020,LED_WS2812-2020,86.005,-31.03,0.0,top
U5,WS2812-2020,LED_WS2812-2020,84.455,-33.655,0.0,top
U6,WS2812-2020,LED_WS2812-2020,82.55,-36.195,0.0,top
U7,WS2812-2020,LED_WS2812-2020,81.28,-38.735,0.0,top
U8,WS2812-2020,LED_WS2812-2020,79.375,-41.275,0.0,top
U9,WS2812-2020,LED_WS2812-2020,77.47,-43.815,0.0,top
U10,WS2812-2020,LED_WS2812-2020,88.265,-38.735,0.0,top
U11,WS2812-2020,LED_WS2812-2020,86.36,-41.91,0.0,top
U12,WS2812-2020,LED_WS2812-2020,84.455,-44.45,0.0,top
